date:2024_01_13_Sat_08h_35min_23sec
sinwave
cells=55
total_calc_time=16639
fft_start_time=255
fft_length=16384
gaussian peak point=100
gaussian alpha=0.010000
angular frequency number=152
dx=0.000000025000000
fft peak number=15
gaussian peak,amplitude
152,6.493463177920376e-04
455,9.191844539088429e-07
758,5.165707444638540e-07
767,4.283760716837928e-07
1061,3.082136799420146e-07
1064,3.048284028534561e-07
1365,2.645558375114403e-07
1373,2.342702978372296e-07
1668,2.005144940815522e-07
1675,1.922941081967366e-07
1972,1.733092986205599e-07
1976,1.639972118968596e-07
2275,1.523882806109786e-07
2285,1.424463485954245e-07
2580,1.275244159707656e-07
