date:2024_01_13_Sat_19h_41min_22sec
sinwave
cells=55
total_calc_time=16639
fft_start_time=255
fft_length=16384
gaussian peak point=100
gaussian alpha=0.010000
angular frequency number=759
dx=0.000000025000000
fft peak number=15
gaussian peak,amplitude
152,4.546458038675009e-07
455,1.072666594434006e-06
759,5.565314073270986e-04
1062,7.398842184634393e-07
1065,5.764008791727215e-07
1365,5.365181659415768e-07
1378,3.132828263280815e-07
1668,2.738827676886948e-07
1681,2.271957689419508e-07
1972,2.538036427093993e-07
1980,1.822586241644300e-07
2275,2.031771156194772e-07
2294,1.512184447288010e-07
2579,1.422068428067649e-07
2581,1.332758814405386e-07
