date:2024_01_13_Sat_08h_28min_11sec
sinwave
cells=55
total_calc_time=16639
fft_start_time=255
fft_length=16384
gaussian peak point=100
gaussian alpha=0.010000
angular frequency number=455
dx=0.000000025000000
fft peak number=15
gaussian peak,amplitude
3,7.328013383548482e-08
152,5.115863623052972e-08
455,6.490517425104165e-09
759,1.627742684547147e-09
1062,1.249876056187583e-09
1365,6.245965494321768e-10
1669,4.899551260146269e-10
1972,3.763805295956358e-10
2276,2.309512722907789e-10
2579,2.544720373340654e-10
2882,1.597625794121423e-10
3186,1.777163073043888e-10
3489,1.527848227525645e-10
3793,1.214452579577217e-10
4096,1.423612732321840e-10
